date,ip,method,code,time_cost
2025-06-11 18:22:19,10.12.44.53,get_weights,200,0.658
2025-06-11 18:23:00,10.12.44.53,get_images,200,0.003
2025-08-10 22:39:20,127.0.0.1,upload_images,200,56.266
2025-08-10 22:54:56,127.0.0.1,show_storage,500,0.0
2025-08-10 22:55:01,127.0.0.1,show_storage,500,0.0
2025-08-10 22:56:08,127.0.0.1,show_storage,200,27.178
2025-08-11 01:02:44,127.0.0.1,show_storage,200,0.13
2025-08-11 01:02:51,127.0.0.1,show_storage,200,0.1
2025-08-11 01:02:56,127.0.0.1,show_image,200,31.598
2025-08-11 01:05:02,127.0.0.1,show_storage,200,0.097
2025-08-11 01:05:14,127.0.0.1,show_image,200,0.005
2025-08-11 01:08:09,127.0.0.1,show_storage,200,0.296
2025-08-11 01:08:25,127.0.0.1,show_storage,200,0.136
2025-08-11 01:08:27,127.0.0.1,show_image,200,0.004
2025-08-11 01:09:28,127.0.0.1,show_storage,200,0.248
2025-08-11 01:09:31,127.0.0.1,show_image,200,0.004
2025-08-11 01:10:55,127.0.0.1,show_storage,200,0.088
2025-08-11 01:10:59,127.0.0.1,show_image,200,0.003
2025-08-11 01:13:08,127.0.0.1,show_storage,200,0.091
2025-08-11 01:15:23,127.0.0.1,show_storage,200,0.761
2025-08-11 01:15:28,127.0.0.1,show_storage,200,0.516
2025-08-11 01:16:48,127.0.0.1,show_storage,200,0.16
2025-08-11 01:16:59,127.0.0.1,upload_weights,200,0.074
2025-08-11 01:16:59,127.0.0.1,show_storage,200,0.146
2025-08-11 01:17:13,127.0.0.1,show_storage,200,0.158
2025-08-11 01:17:18,127.0.0.1,show_storage,200,0.338
2025-08-11 01:20:21,127.0.0.1,show_storage,200,0.486
2025-08-11 01:20:22,127.0.0.1,show_storage,200,0.431
2025-08-11 01:20:40,127.0.0.1,show_storage,200,0.594
2025-08-11 01:21:43,127.0.0.1,show_storage,200,0.999
2025-08-11 01:22:15,127.0.0.1,show_storage,200,0.691
2025-08-11 01:22:43,127.0.0.1,show_storage,200,0.327
2025-08-11 01:22:44,127.0.0.1,show_storage,200,0.131
2025-08-11 01:23:41,127.0.0.1,show_storage,200,0.147
2025-08-11 01:23:41,127.0.0.1,show_storage,200,0.094
2025-08-11 01:23:43,127.0.0.1,show_storage,200,0.147
2025-08-11 01:23:43,127.0.0.1,show_storage,200,0.111
2025-08-11 01:23:44,127.0.0.1,show_storage,200,0.118
2025-08-11 01:23:45,127.0.0.1,show_storage,200,0.143
2025-08-11 01:23:48,127.0.0.1,show_storage,200,0.227
2025-08-11 01:23:49,127.0.0.1,show_storage,200,0.145
2025-08-11 01:23:55,127.0.0.1,show_storage,200,0.495
2025-08-11 01:24:15,127.0.0.1,show_storage,200,0.255
2025-08-11 01:24:16,127.0.0.1,show_storage,200,0.091
2025-08-11 01:24:24,127.0.0.1,show_storage,200,0.499
2025-08-11 01:24:29,127.0.0.1,show_storage,200,0.451
2025-08-11 01:24:55,127.0.0.1,show_storage,200,0.303
2025-08-11 01:24:56,127.0.0.1,show_storage,200,0.309
2025-08-11 01:24:56,127.0.0.1,show_storage,200,0.136
2025-08-11 01:24:56,127.0.0.1,show_storage,200,0.933
2025-08-11 01:24:58,127.0.0.1,show_storage,200,0.393
2025-08-11 01:25:01,127.0.0.1,show_storage,200,0.266
2025-08-11 01:25:11,127.0.0.1,show_storage,200,0.428
2025-08-11 01:27:04,127.0.0.1,show_storage,200,0.252
2025-08-11 01:27:09,127.0.0.1,show_storage,200,0.471
2025-08-11 01:27:10,127.0.0.1,show_storage,200,0.22
2025-08-11 01:27:18,127.0.0.1,show_storage,200,0.159
2025-08-11 01:27:23,127.0.0.1,show_storage,200,0.336
2025-08-11 01:27:24,127.0.0.1,show_storage,200,0.223
2025-08-11 01:30:02,127.0.0.1,show_storage,200,0.449
2025-08-11 01:30:06,127.0.0.1,show_storage,200,0.101
2025-08-11 01:30:15,127.0.0.1,show_storage,200,0.223
2025-08-11 01:30:23,127.0.0.1,show_storage,200,0.124
2025-08-11 01:31:13,127.0.0.1,show_storage,200,0.224
2025-08-11 01:31:16,127.0.0.1,show_storage,200,0.431
2025-08-11 01:31:23,127.0.0.1,show_storage,200,0.116
2025-08-11 01:32:52,127.0.0.1,show_storage,200,0.477
2025-08-11 01:33:29,127.0.0.1,show_storage,200,0.462
2025-08-11 01:33:32,127.0.0.1,show_storage,200,0.24
2025-08-11 01:33:50,127.0.0.1,show_storage,200,0.156
2025-08-11 01:33:57,127.0.0.1,show_storage,200,0.322
2025-08-11 01:35:37,127.0.0.1,show_storage,200,0.141
2025-08-11 01:35:41,127.0.0.1,show_storage,200,0.121
2025-08-11 01:39:28,127.0.0.1,show_storage,200,0.255
2025-08-11 01:42:23,127.0.0.1,show_storage,200,0.136
2025-08-11 01:42:25,127.0.0.1,show_storage,200,0.1
2025-08-11 01:42:40,127.0.0.1,show_storage,200,0.152
2025-08-11 01:43:41,127.0.0.1,show_storage,200,0.747
2025-08-11 01:44:10,127.0.0.1,show_storage,200,0.269
2025-08-11 01:44:25,127.0.0.1,show_storage,200,0.536
2025-08-11 01:45:22,127.0.0.1,show_storage,200,0.458
2025-08-11 01:45:25,127.0.0.1,show_storage,200,1.721
2025-08-11 01:45:31,127.0.0.1,show_storage,200,0.235
2025-08-11 01:45:31,127.0.0.1,show_storage,200,0.086
2025-08-11 01:48:29,127.0.0.1,show_storage,200,0.23
2025-08-11 01:48:54,127.0.0.1,upload_weights,200,0.065
2025-08-11 01:48:54,127.0.0.1,show_storage,200,0.147
2025-08-11 01:49:55,127.0.0.1,upload_weights,200,0.02
2025-08-11 01:49:55,127.0.0.1,show_storage,200,0.383
2025-08-11 01:50:02,127.0.0.1,show_storage,200,0.68
2025-08-11 01:50:35,127.0.0.1,show_storage,200,0.79
2025-08-11 01:50:42,127.0.0.1,upload_images,200,0.015
2025-08-11 01:50:42,127.0.0.1,show_storage,200,0.192
2025-08-11 01:50:47,127.0.0.1,show_image,500,0.002
2025-08-11 01:51:35,127.0.0.1,show_storage,200,0.221
2025-08-11 01:51:40,127.0.0.1,show_storage,200,0.466
2025-08-11 01:51:43,127.0.0.1,show_image,200,0.004
2025-08-11 01:51:48,127.0.0.1,show_storage,200,0.086
2025-08-11 02:05:35,127.0.0.1,show_storage,200,0.089
2025-08-11 02:05:43,127.0.0.1,upload_images,200,0.109
2025-08-11 02:05:44,127.0.0.1,show_storage,200,0.013
2025-08-11 02:06:35,127.0.0.1,show_storage,200,0.024
2025-08-11 02:06:43,127.0.0.1,upload_weights,200,0.182
2025-08-11 02:06:43,127.0.0.1,show_storage,200,0.008
2025-08-11 02:07:31,127.0.0.1,show_storage,200,0.018
2025-08-11 02:10:21,127.0.0.1,show_storage,200,0.452
2025-08-11 02:10:26,127.0.0.1,show_storage,200,0.171
2025-08-11 02:10:28,127.0.0.1,show_storage,200,0.006
2025-08-11 02:10:28,127.0.0.1,show_storage,200,0.024
2025-08-11 02:10:29,127.0.0.1,show_storage,200,0.018
2025-08-11 02:17:35,127.0.0.1,show_storage,200,0.097
